answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
727053,1364596,666093,"1,8 m³/km/jour",257,271,,Quel est la valeur de l'indice linéaire de pertes global? ,data(1).txt,"130
VI - 7 – La performance des services
VI – 7 – 1 - Qualité de l’eau distribuée
• 100% de c onformité aux limites de qualité d’eau microbiologiques et physicochimiques
• Un r
endement global de réseau à 90,7 %
• Un bon indic
e linéaire de pertes global à 1,8 m³/km/jour
• Un indic
e de connaissance et de gestion patrimoniale de 115/120 à l’échelle de la Collectivité
• 0
,92 % de renouvellement du réseau en moyenne sur les 5 dernières années
La qualité de l’eau distribuée est testée en de nombreux points du réseau de distribution. Les résultats des 
contrôles de la"
726677,1364561,665747,"10,06",756,761,,Quelle est la valeur de P256.2 ?,data(12).txt,"e si la collectivité aﬀecte à ce remboursement la totalité de l'autoﬁnancement dégagé par le service ou épargne brute annuelle (recettes réelles – dépenses réelles, calculée selon les modalités prescrites par l'instruction comptable M49).
Pour l'année 2020, la durée d’extinction de la dette est 
de 10,06 ans, contre 8,8 ans en 2019 (budget annexe 
assainissement).TAUX D'IMPAYÉS SUR LES FACTURES  
DE L 'ANNÉE PRÉCÉDENTE /parenleft.caseP257.0/parenright.case
Ne sont ici considérées que les seules factures portant sur l'assainissement collectif proprement dit. Sont donc exclues les factures de réalisa"
727119,1364611,666159, 3 893,326,332,,Quelle est la quantité de boues issues des ouvrages d'épuration ?,data(15).txt,"rformances  
 
D201.0 – Estimation du nombre d'habitants desservis  
 213 372  habitants desservis  
D202.0 – Nombre d’autorisations de déversement 
d’effluents d’établissements industriels au réseau de 
collecte des eaux usées  
 18 
 
D203.0  – Quantité de boues issues des ouvrages 
d’épuration  
 3 893 T de MS  
 
Prix TTC du service au m³ pour 120 m³ (sans les 
abonnements)  
 2,30 € TTC/m3 pour un service 
exploité par la RESE  
D204.0 – Prix TTC du service au m³ pour 120 m³  
(avec les abonnements)  
 3,33 € TTC/m3 pour un service 
exploité par la RESE  
P201.1  – Taux de desserte par des rése"
727129,1364611,666169,"0,0516",1072,1078,,Quelle est la valeur du taux de débordements d'effluents chez les usagers? ,data(15).txt,"s  
 75 
P206.3 – Taux de boues issues des ouvrages 
d’épuration évacuées selon des filières conformes à la 
réglementation  
 100 %  
P207.0  – Montant des abandons de créa nce ou des 
versements à un fonds de solidarité  
 0,002 €/m3 
P251.1 – Taux de débordements d’effluents chez les 
usagers  
 0,0516 pour 1  000 abonnés  
P252.2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des "
727130,1364611,666170,"0,40 % ",1257,1264,,Quelle est la valeur de P253.2?,data(15).txt,"
versements à un fonds de solidarité  
 0,002 €/m3 
P251.1 – Taux de débordements d’effluents chez les 
usagers  
 0,0516 pour 1  000 abonnés  
P252.2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des rejets au milieu 
naturel  
 105 
P256.2 - Durée d’extinction de la dette de la collectivité  
(diffère du calcul comptable présenté précédemment. 
L’indicateur P25 6.2 = Encours total d"
727055,1364596,666095,"0
,92 %",372,379,,Quel est le taux de renouvellement ?,data(1).txt,"istribuée
• 100% de c onformité aux limites de qualité d’eau microbiologiques et physicochimiques
• Un r
endement global de réseau à 90,7 %
• Un bon indic
e linéaire de pertes global à 1,8 m³/km/jour
• Un indic
e de connaissance et de gestion patrimoniale de 115/120 à l’échelle de la Collectivité
• 0
,92 % de renouvellement du réseau en moyenne sur les 5 dernières années
La qualité de l’eau distribuée est testée en de nombreux points du réseau de distribution. Les résultats des 
contrôles de la qualité de l’eau potable réalisés par l’ARS sont consultables pour chaque commune sur le site Internet du M"
727131,1364611,666171," 0,40 % ",1256,1264,,Quel est le taux de renouvellement des réseaux de collecte des eaux usées? ,data(15).txt," 
versements à un fonds de solidarité  
 0,002 €/m3 
P251.1 – Taux de débordements d’effluents chez les 
usagers  
 0,0516 pour 1  000 abonnés  
P252.2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des rejets au milieu 
naturel  
 105 
P256.2 - Durée d’extinction de la dette de la collectivité  
(diffère du calcul comptable présenté précédemment. 
L’indicateur P25 6.2 = Encours total d"
727132,1364611,666172," 94,3 %",1333,1340,,Quelle est la valeur de P254.3? ,data(15).txt,"ments d’effluents chez les 
usagers  
 0,0516 pour 1  000 abonnés  
P252.2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des rejets au milieu 
naturel  
 105 
P256.2 - Durée d’extinction de la dette de la collectivité  
(diffère du calcul comptable présenté précédemment. 
L’indicateur P25 6.2 = Encours total de la dette / 
Epargne brute annuelle)   
 
 0,84 années  
P257.0 – Taux d'im"
727134,1364611,666174, 105 ,1406,1411,,Quelle est la valeur de P255.3?,data(15).txt,"2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des rejets au milieu 
naturel  
 105 
P256.2 - Durée d’extinction de la dette de la collectivité  
(diffère du calcul comptable présenté précédemment. 
L’indicateur P25 6.2 = Encours total de la dette / 
Epargne brute annuelle)   
 
 0,84 années  
P257.0 – Taux d'impayés sur les factures d'eau de 
l'année précédente  
 2,11% pour les s"
727133,1364611,666173,"94,3 %",1334,1340,,Quelle est la valeur de la conformité des performances des équipements d'épuration? ,data(15).txt,"ents d’effluents chez les 
usagers  
 0,0516 pour 1  000 abonnés  
P252.2 – Points de curage fréquent du réseau  
  4,361  pour 100 km de réseaux  
P253.2 – Taux de renouvellement des réseaux de 
collecte des eaux usées  
 0,40 % 
P254.3 – Conformité des performances des 
équipements d’épuration  
 94,3 % 
P255.3 – Indice de connaissance des rejets au milieu 
naturel  
 105 
P256.2 - Durée d’extinction de la dette de la collectivité  
(diffère du calcul comptable présenté précédemment. 
L’indicateur P25 6.2 = Encours total de la dette / 
Epargne brute annuelle)   
 
 0,84 années  
P257.0 – Taux d'im"
