indic,min,max
D101.0,104,26990
D102.0,1.25,3.26
D151.0,1,15
P101.1,83.3,100
P102.1,78.9,100
P103.2B,39,120
P103.2,39,120
P104.3,51.3,97.3
P105.3,0.3,14
P106.3,0.2,11.7
P107.2,0,2.98
P108.3,40,100
P109.0,0,0.04
P151.1,0,13.7
P153.2,0,19
P154.0,0,8.5
P155.1,0,2.01
D201.0,0,50000000000
D202.0,0,1000000000
D203.0,0,1000000000
D204.0,0.5,3
P201.1,50,100
P202.2B,0,120
P203.3,0,100
P204.3,0,100
P205.3,0,100
P206.3,9,100
P207.0,0,0.1
P251.1,0,3
P252.2,0,50
P253.2,0,3
P254.3,0,100
P255.3,0,120
P256.2,0,30
P257.0,0,5
P258.1,0,20
D301.0,14,21526
D302.0,40,130
P301.3,0,100
