question,mot,indic
0,Quel est le prix de service au m3 pour l'eau potable ,prix,D102.0
1,Quel est le prix du service au m3 pour l'assinissement de l'eau ?,prix,D204.0
2,Quelle est la connaissance du réseau en eau potable  ,connaissance,P103.2B
3,Quel est le taux de connaissance du réseau en assainissement de l'eau,connaissance,P202.2B
4,Quel est le taux de renouvellement des réseaux en eau potable ,renouvellement,P107.2
5,Quel est le taux de renouvellement des réseaux en assainissement collectif  ,renouvellement,P253.2
6,Quelle est la conformité microbiologique de l'eau  , conformité,P101.1
7,Quelle est la conformité physico-chimique de l'eau  , conformité,P102.1
8,Quel est le rendement du réseau de distribution,rendement,P104.3
9,Quel est la conformité dispositifs assinissement non collectif ,conformité,P301.3
10,Quelle est la valeur de D102.0,D102.0,D102.0
11,Quelle est la valeur de D204.0,D204.0,D204.0
12,Quelle est la valeur de P103.2,P103.2,P103.2B
13,Quelle est la valeur de P202.2 ,P202.2,P202.2B
14,Quelle est la valeur de P107.2,P107.2,P107.2
15,Quelle est la valeur de P253.2,P253.2,P253.2
16,Quelle est la valeur de P101.1,P101.1,P101.1
17,Quelle est la valeur de P102.1 ,P102.1,P102.1
18,Quelle est la valeur de P104.3,P104.3,P104.3
19,Quelle est la valeur de P301.3 ,P301.3,P301.3
20, Quelle est la valeur de l'indicateur D102.0,D102.0,D102.0
21, Quelle est la valeur de l'indicateur D204.0,D204.0,D204.0
22, Quelle est la valeur de l'indicateur P103.2,P103.2,P103.2B
23, Quelle est la valeur de l'indicateur P202.2,P202.2,P202.2B
24, Quelle est la valeur de l'indicateur P107.2,P107.2,P107.2
25, Quelle est la valeur de l'indicateur P253.2,P253.2,P253.2
26, Quelle est la valeur de l'indicateur P101.1,P101.1,P101.1
27, Quelle est la valeur de l'indicateur P102.1,P102.1,P102.1
28, Quelle est la valeur de l'indicateur P104.3,P104.3,P104.3
29, Quelle est la valeur de l'indicateur P301.3,P301.3,P301.3
30, Quel est le taux de conformité des dispositifs d'assainissement non collectifs, coformité,P301.1
31,Quelle est la conformité microbiologique de l'eau  , microbiologie,P101.1
32,Quelle est la conformité physico-chimique de l'eau  , physico-chimie,P102.1
33,Quelle est la conformité microbiologique de l'eau , microbiologique,P101.1
34,Quelle est la conformité physico-chimique de l'eau  , physico-chimique,P102.1
35, Quel est le total de points de connaissance du réseau en eau potable,connaissance,P103.2B
36,Quelle est le pourcentage de conformité des dispositifs d'assainissement non collectifs,dispositifs,P301.3
37,Quel est le prix de service au m3 pour l'eau potable (D102.0) ,prix,D102.0
38,Quel est le prix du service au m3 pour l'assinissement de l'eau (D204.0),prix,D204.0
39,Quelle est la connaissance du réseau en eau potable(P103.2)  ,connaissance,P103.2B
40,Quel est le taux de connaissance du réseau en assainissement de l'eau(P202.2),connaissance,P202.2B
41,Quel est le taux de renouvellement des réseaux en eau potable (P107.2),renouvellement,P107.2
42,Quel est le taux de renouvellement des réseaux en assainissement collectif (P253.2) ,renouvellement,P253.2
43,Quelle est la conformité microbiologique de l'eau (P101.1)  , conformité,P101.1
44,Quelle est la conformité physico-chimique de l'eau(P102.1)  , conformité,P102.1
45,Quel est le rendement du réseau de distribution(P104.3) ,rendement,P104.3
46,Quel est la conformité dispositifs assinissement non collectif(P301.3)? ,conformité,P301.1
47,Quelle est la valeur de la solidarité aux usagers pour l'eau potable,solidarité,P109.0
48,Quelle est la valeur de l'indicateur P109.0,P109.0,P109.0
49,Quelle est la valeur de P207.0,P207.0,P207.0
50,Quelle est la valeur de l'endettement du service pour l'eau potable ,endettement,P153.2
51,Quel est le nombre d'années de l'endettement du service , endettement,P256.2
52,Quelle est la valeur de l'indicateur P153.2,P153.2,P153.2
53, Quelle est la valeur de l'indicateur P256.2,P256.2,P256.2
54, Quel est le taux d'impayés pour l'eau potable,impayés,P154.0
55,Quel est le pourcentage d'impayés pour l'eau potable ,impayés,P154.0
56,Quelle est la valeur de l'indicateur P154.0,P154.0,P154.0
57,Quelle est la valeur de l'indicateur P257.0,P257.0,P257.0
58, Quel est le taux d'impayés(P154.0),impayés,P154.0
