nom_fichier;service;in_list;exact;true_neg;false_pos;false_neg;recall;precision;accuracy;f1;len
PDF/affrique_AC_2016.pdf;AC;6;0;5.0;4.0;1.0;0.0;0.0;0.2777777777777778;0.0;70
PDF/vimoutiers_AC_2016.pdf;AC;5;1;7.0;2.0;2.0;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;21
PDF/PSE_AC_2026.pdf;AC+EP;6;3;0.0;0.0;3.0;0.5;1.0;0.09375;0.6666666666666666;31
PDF/plassac_AC_2016.pdf;AC;0;0;8.0;2.0;4.0;0.0;0.0;0.4444444444444444;0.0;8
PDF/loupiac_AC_2016.pdf;AC;7;0;6.0;10.0;0.0;0.0;0.0;0.3333333333333333;0.0;26
PDF/chambonie_AC_2016.pdf;AC;3;2;9.0;2.0;2.0;0.5;0.5;0.61;0.5;21
PDF/saint_aubin_AC_2021.pdf;AC;1;0;9.0;2.0;3.0;0.0;0.0;0.5;0.0;20
PDF/montfort_EP_2016.pdf;EP;1;0;3.0;0.0;6.0;0.0;0.0;0.21;0.0;17
PDF/revel_EP_2016.pdf;EP;4;3;3.0;3.0;1.0;0.75;0.5;0.19;0.6;18
PDF/fourmies_EP_2016.pdf;EP;9;3;0.0;0.0;1.0;0.75;1.0;0.21;0.86;28
PDF/reclainville_EP_2016.pdf;Not defined;2;1;3.0;1.0;4.0;0.2;0.5;0.12;0.29;22
PDF/mont_letroit_EP_2016.pdf;EP;5;1;2.0;2.0;3.0;0.25;0.33;0.21;0.28;22
PDF/roscoff_EP_2016.pdf;EP;6;4;3.0;3.0;0.0;1.0;0.57;0.5;0.73;23
PDF/prunet_EP_2016.pdf;EP;5;4;3.0;0.0;1.0;0.8;1.0;0.5;0.89;22
PDF/revel_EP_2016.pdf;EP;2;0;3.0;4.0;0.0;0.0;0.0;0.21;0.0;18
PDF/pont_eveque_EP_2016.pdf;EP;8;2;3.0;5.0;1.0;0.67;0.29;0.36;0.4;23
PDF/beleval_EP_2016.pdf;EP;6;2;2.0;1.0;3.0;0.4;0.67;0.29;0.5;18
PDF/noyers_2018_AC.pdf;AC;5;1;6.0;1.0;1.0;0.5;0.5;0.39;0.5;20
PDF/gennes_AC_2018.pdf;AC;3;2;9.0;2.0;1.0;0.67;0.5;0.61;0.57;20
PDF/ste_foy_AC_2018.pdf;AC;0;0;6.0;3.0;2.0;0.0;0.0;0.33;0.0;130
PDF/gramat_EP_2017.pdf;EP;6;2;2.0;1.0;1.0;0.67;0.67;0.29;0.67;23
PDF/mallemoisson_EP_2017.pdf;EP;8;1;3.0;0.0;3.0;0.25;1.0;0.29;0.4;23
PDF/aigne_AC_2018.pdf;AC;5;1;7.0;1.0;2.0;0.33;0.5;0.44;0.4;21
PDF/cornac_AC_2018.pdf;AC;1;1;8.0;0.0;5.0;0.17;1.0;0.5;0.29;13
